1712;SA;1
1424;HC;1
2677;BT;1
3270;BT;1
911;BT;1
1665;HC;3052
2400;HC;30
1953;SA;1
2545;SA;1
2304;SA;16
1690;BT;21
259;sEA;200000
1574;sEA;200000
1088;SA;15
1724;SA;7
2154;sEA;200000
2689;BT;1
299;SA;1
2316;SA;15
1653;HC;1
2798;SA;200000
888;BT;1
1403;sEA;1
3028;BT;7424
2882;sEA;598
1004;sEA;1
1461;BT;1
3004;HC;1
1175;sEA;200000
1689;BT;7426
1245;sEA;200000
1448;BT;8
1436;HC;1
3075;sEA;200000
2483;sEA;1
2533;SA;1
3041;BT;27
275;SA;1
1941;SA;1
804;sEA;1
923;BT;1
876;HC;1
1849;sEA;1
64;SA;8
839;HC;1
864;HC;1
2641;sEA;1
1087;sEA;200000
3016;HC;1
3269;BT;1
2570;SA;1
2448;BT;22
3245;HC;1
2653;HC;1
3233;sEA;200000
2412;BT;4
1616;SA;200000
2424;HC;40
1507;BT;23
623;BT;9
1761;HC;39
1690;HC;121
3004;BT;1
904;sEA;1
3269;HC;1
2999;sEA;200000
2828;sEA;200000
3257;HC;52
76;SA;1
2583;sEA;1
3133;sEA;200000
1424;BT;1
1628;SA;25
911;HC;1
3270;HC;1
1689;HC;37073
815;SA;1
864;BT;1
1977;SA;1
3294;BT;36
935;BT;1
1400;HC;1
2594;HC;1
2665;HC;16
2100;BT;15
2569;SA;1
840;HC;1
588;sEA;200000
1700;SA;8
2424;BT;18
2690;BT;1
1677;HC;64
3282;BT;1
172;sEA;1
2341;HC;1
1732;sEA;1
2412;HC;4
2254;sEA;200000
2353;BT;18
611;BT;14
3016;BT;1
1894;SA;1
923;HC;1
746;sEA;200000
803;SA;1
1412;HC;1
1965;SA;3
88;SA;4
2557;SA;1
947;BT;1
2677;HC;1
1748;HC;1
2096;sEA;1
1436;BT;1
287;SA;1
876;BT;1
2015;BT;1
1641;BT;6689
1169;sEA;200000
2628;SA;1
3341;BT;1
2728;sEA;1
1773;SA;11
588;SA;28
731;BT;16
3100;BT;1
2461;HC;1
1363;sEA;1
2497;BT;1
1604;HC;833
180;HC;1
106;SA;3
2616;SA;1
3112;BT;1
1616;HC;52622
2725;BT;1
3304;HC;1
167;HC;26
1193;sEA;200000
1761;SA;13
2701;HC;1
1364;HC;1
706;HC;1
2485;BT;1
2027;BT;1
1653;BT;1
2430;sEA;1
2236;sEA;200000
192;BT;1
2604;SA;1
1785;SA;25
1943;sEA;1
3316;HC;1
2671;sEA;1
2477;sEA;1
1376;HC;1
2713;HC;1
1628;HC;657
734;sEA;200000
179;HC;1
3374;sEA;1
2737;BT;1
3321;sEA;1
1702;sEA;1
2701;BT;1
180;BT;1
3136;BT;7
143;HC;77
3316;BT;1
136;sEA;200000
179;BT;1
706;BT;1
2400;SA;7
2436;HC;397
1797;SA;3
564;SA;29
1604;BT;23
2013;sEA;1
1720;sEA;200000
1748;SA;1
2473;BT;1
1919;sEA;1
1677;BT;13
1339;SA;1
1767;sEA;200000
718;BT;1
1122;sEA;200000
1388;HC;1
2066;sEA;1
3328;BT;1
2448;HC;270
2713;BT;1
118;SA;8
1327;HC;1
1340;SA;1
1665;BT;7426
155;HC;1
576;SA;200000
2786;BT;7426
3100;HC;1
2003;BT;1
2461;BT;1
242;sEA;200000
1736;SA;1
3392;sEA;1
780;BT;24
716;sEA;200000
3124;BT;23
1641;HC;3067
2894;sEA;200000
3124;HC;138
527;SA;200000
2294;SA;25
743;HC;684
2076;BT;1
1315;HC;1
2304;BT;24
1797;HC;16
816;sEA;1
2436;SA;5
3161;BT;28
2904;sEA;1
755;HC;1
1802;sEA;1
2798;BT;21
779;BT;24
515;SA;26
2316;BT;675
1352;SA;1
840;sEA;1
155;SA;1
2282;SA;3
1586;sEA;200000
3268;sEA;1
1364;SA;1
2084;sEA;1
2088;BT;1
731;HC;388
1937;sEA;1
3368;sEA;1
3304;BT;1
3173;BT;1
3112;HC;1
2628;HC;1
3148;BT;1
3438;sEA;1
2417;sEA;200000
1303;HC;1
2497;HC;1
167;SA;9
2448;SA;12
1327;BT;1
2270;SA;26
767;BT;1
2412;SA;4
260;sEA;200000
1616;BT;6689
3151;sEA;200000
552;SA;29
2616;HC;1
755;BT;1
2788;sEA;200000
312;sEA;200000
1376;SA;1
2786;HC;504
957;sEA;200000
131;SA;10
3303;sEA;1
1388;SA;1
1315;BT;1
1497;BT;1
3148;HC;1
160;sEA;200000
492;SA;7
576;HC;200000
2485;HC;1
2076;HC;1
718;HC;1
588;HC;200000
2424;SA;17
2473;HC;1
143;SA;7
56;sEA;1
1628;BT;6689
539;SA;26
743;BT;513
377;sEA;1
540;SA;26
1303;BT;1
483;sEA;200000
2798;HC;381
1837;sEA;1
1263;sEA;1
192;HC;1
2604;HC;1
3136;HC;12
2088;HC;1
383;sEA;1
480;SA;1
358;BT;1
1099;sEA;200000
2628;BT;1
1148;SA;9
3444;sEA;1
664;sEA;1
1039;BT;13
2015;SA;1
3185;HC;105
731;SA;17
3010;sEA;200000
206;sEA;200000
2497;SA;1
3100;SA;1
2934;sEA;200000
1022;sEA;200000
423;sEA;1
2725;SA;1
106;BT;12
2616;BT;1
479;SA;14
3081;sEA;1
3112;SA;1
2330;sEA;200000
277;sEA;1
2749;SA;1
3413;HC;1
322;HC;1
2136;sEA;284
3401;HC;1
3197;HC;1243
2377;sEA;200000
346;BT;14
2485;SA;1
